agency,description,name,price
The Maricopa Real Estate Co,"Beds,Baths,Sq.Ft.,3,2,2,378","20727 N La Entrada Road,Hidden Valley","$999,999"
Homesmart Premier,"Beds,Baths,Sq.Ft.,5,3,3,954","22103 N Cline Court,Rancho El Dorado","$749,000"
Richmond American Homes,"Beds,Baths,Sq.Ft.,4,3,2,580","40368 W Desert Fairways Drive,Rancho El Dorado Phase Iii Parcel 43/48","$674,995"
Richmond American Homes,"Beds,Baths,Sq.Ft.,3,2,F,1,1/2,2,500","22335 N Daniel Drive,Rancho El Dorado Phase Iii Parcel 43/48","$629,995"
Hague Partners,"Beds,Baths,Sq.Ft.,3,2,F,1,1/2,2,595","40503 W Little Drive,Rancho El Dorado Phase Iii Parcel 39/51","$625,000"
West Usa Realty,"Beds,Baths,Sq.Ft.,3,2,F,1,1/2,2,117","10502 N Candido Road,S19 T5s R2e","$625,000"
Rhouse Realty,"Beds,Baths,Sq.Ft.,5,4,3,293","41823 W Sussex Drive,Glennwilde","$599,900"
"Congress Realty, Inc.","Beds,Baths,Sq.Ft.,8,4,3,920","36896 W Leonessa Avenue,Sorrento Parcel 3","$585,000"
Richmond American Homes,"Beds,Baths,Sq.Ft.,3,2,F,1,1/2,2,580","40931 W Desert Fairways Drive,Rancho El Dorado Phase Iii Parcel 43/48","$584,995"
Precision Real Estate,"Beds,Baths,Sq.Ft.,5,3,3,955","22043 N O Sullivan Drive,Phase Ii Parcel 14 At Rancho El Dorado","$580,000"
Richmond American Homes,"Beds,Baths,Sq.Ft.,3,2,1,820","40486 W Desert Fairways Drive,Rancho El Dorado Phase Iii Parcel 43/48","$569,995"
Redfin Corporation,"Beds,Baths,Sq.Ft.,4,3,F,1,1/2,2,653","22375 N Celtic Avenue,Cobblestone Farms Parcel Ii","$560,000"
Azarchitecture/Jarson & Jarson,"Beds,Baths,Sq.Ft.,5,4,F,1,1/2,4,553","221 E 14th Street,University Park Addition","$2,490,000"
Homesmart,"Beds,Baths,Sq.Ft.,5,4,4,502","2146 E Caroline Lane,Circle G Ranches 4-3 Amd","$2,395,000"
My Home Group Real Estate,"Beds,Baths,Sq.Ft.,4,3,F,1,1/2,4,798","1782 E Carver Road,Shady Lane Estates","$1,900,000"
Realty One Group,"Beds,Baths,Sq.Ft.,6,4,5,137","2181 E La Vieve Lane,Circle G Ranches 4-3 Amd","$1,875,000"
Locality Real Estate,"Beds,Baths,Sq.Ft.,5,4,F,1,1/2,5,271","8502 S Willow Drive,Warner Estates","$1,650,000"
Homesmart Lifestyles,"Beds,Baths,Sq.Ft.,4,3,F,1,1/2,3,431","2059 E La Vieve Lane,Circle G Ranches 4 Unit 1","$1,599,000"
Coldwell Banker Realty,"Beds,Baths,Sq.Ft.,5,3,F,1,1/2,4,174","9338 S Stanley Place,Corona Ranch Lot 1-43 Tr A-C","$1,335,000"
"Call Realty, Inc.","Beds,Baths,Sq.Ft.,4,4,F,1,1/2,3,826","1332 E Steamboat Bend Drive,Lakes Tract A","$1,295,000"
Your Home Sold Guaranteed Realty,"Beds,Baths,Sq.Ft.,4,4,F,1,1/2,3,182","630 E Sunburst Lane,Elliot Estates Amd","$1,200,000"
Your Home Sold Guaranteed Realty,"Beds,Baths,Sq.Ft.,4,2,F,1,1/2,3,895","1526 E La Vieve Lane,Corona Del Sol Estates","$1,169,999"
Prosmart Realty,"Beds,Baths,Sq.Ft.,5,3,3,140","8309 S Terrace Road,Buena Vista Ranchos","$1,149,500"
Exp Realty,"Beds,Baths,Sq.Ft.,5,3,F,1,1/2,3,939","6459 S River Drive,Round Valley Estates","$1,125,000"
Berkshire Hathaway Homeservices Arizona Properties,"Beds,Baths,Sq.Ft.,4,3,3,549","16827 W Lower Buckeye Road,Metes And Bounds","$1,300,000"
Exp Realty,"Beds,Baths,Sq.Ft.,5,3,F,1,1/2,4,929","12797 S 179th Drive,Estrella Mountain Ranch Parcel 95A","$1,250,000"
Realty One Group,"Beds,Baths,Sq.Ft.,2,2,F,1,1/2,3,039","3183 N 159th Avenue,Pebblecreek Phase 2 Unit 26","$1,199,000"
Pebblecreek Properties Limited,"Beds,Baths,Sq.Ft.,2,2,F,1,1/2,2,816","3223 N 167th Drive,Pebblecreek Phase 2 Unit 49B","$1,153,928"
My Home Group Real Estate,"Beds,Baths,Sq.Ft.,4,3,F,1,1/2,3,754","16462 W Pima Street,Sarival Gardens","$1,100,000"
Desert Properties Realty,"Beds,Baths,Sq.Ft.,3,3,F,1,1/2,2,764","2864 N 168th Avenue,Pebblecreek Phase 2 Unit 60","$1,050,000"
Pebblecreek Properties Limited,"Beds,Baths,Sq.Ft.,2,2,F,1,1/2,2,544","16779 W Fairmount Avenue,Pebblecreek Phase 2 Unit 47A","$1,030,791"
Berkshire Hathaway Homeservices Arizona Properties,"Beds,Baths,Sq.Ft.,5,3,F,1,1/2,3,419","4428 N 185th Avenue,Sedella Parcel 4C","$990,000"
Realty One Group,"Beds,Baths,Sq.Ft.,3,3,F,1,1/2,2,538","16434 W Berkeley Road,Pebblecreek Phase 2 Unit 58","$989,000"
The Offer Company,"Beds,Baths,Sq.Ft.,6,4,F,1,1/2,5,109","18372 W Monterosa Street,Sedella Parcel 4B","$975,000"
Tri Pointe Homes Arizona Realty,"Beds,Baths,Sq.Ft.,4,3,F,1,1/2,3,740","18195 W Highland Avenue,Sedella","$974,928"
West Usa Realty,"Beds,Baths,Sq.Ft.,3,2,F,1,1/2,2,600","16465 W Holly Street,Pebblecreek Phase 2 Unit 52","$965,000"
